"Article","Year","Stem"
"Learning analytics dashboards: The past, the present and the future",2020,"interact"
"Exploring student approaches to learning through sequence analysis of reading logs",2020,"cluster"
"Let's shine together! a comparative study between learning analytics and educational data mining",2020,"hierarchical topic detect"
"Macro MOOC learning analytics: Exploring trends across global and regional providers",2020,"large-scale analyt"
"The SEIRA approach: Course embedded activities to promote academic integrity and literacies in first year engineering",2020,"academic literaci"
"EdX log data analysis made easy: Introducing ELAT: An open-source, privacy-aware and browser-based edX log data analysis tool",2020,"learning analyt"
"Rethinking time-on-task estimation with outlier detection accounting for individual, time, and task differences",2020,"measur"
"Learning analytics challenges: Trade-offs, methodology, scalability",2020,"scalabl"
"Personalized visualizations to promote young learners' SRL: The learning path app",2020,"hybrid human-system intellig"
"Disciplinary differences in blended learning design: A network analytic study",2020,"faculti"
"Self-regulated learning and learning analytics in online learning environments: A review of empirical research",2020,"literature review"
"Comparing teachers' use of mirroring and advising dashboards",2020,"elementary educ"
"Towards automatic cross-language classification of cognitive presence in online discussions",2020,"content analyt"
"Learning to represent healthcare providers knowledge of neonatal emergency care: Findings from a smartphone-based learning intervention targeting clinicians from LMICs",2020,"deep knowledge trac"
"Understanding Students' engagement with personalised feedback messages",2020,"feedback"
"Are forum networks social networks? a methodological perspective",2020,"online forum"
"Peeking through the classroom window: A detailed data-driven analysis on the usage of a curriculum integrated math game in authentic classrooms",2020,"game analyt"
"Detecting learning in noisy data: The case of oral reading fluency",2020,"children's read"
"Analytics of learning strategies: The association with the personality traits",2020,"learning analyt"
"Towards skills-based curriculum analytics: Can we automate the recognition of prior learning?",2020,"lifelong learn"
"A Bayesian model of individual differences and flexibility in inductive reasoning for categorization of examples",2020,"inductive reason"
"Exploring exam strategies of successful first year engineering students",2020,"markov chain"
"Learning with background music: A field experiment",2020,"learning engag"
"Characterizing and influencing students' tendency towrite self-explanations in online homework",2020,"online homework"
"Involving teachers in learning analytics design: Lessons learned from two case studies",2020,"co-design"
"Slow is good: The effect of diligence on student performance in the case of an adaptive learning system for health literacy",2020,"cluster"
"Evaluating teachers' perceptions of students' questions organization",2020,"question organ"
"Towards automatic content analysis of social presence in transcripts of online discussions",2020,"content analyt"
"Predicting student success in a blended learning environment",2020,"e-learn"
"Exploration of the robustness and generalizability of the additive factors model",2020,"knowledge compon"
"Complementing educational recommender systems with open learner models",2020,"open learner model"
"Smart dictionary for E-book reading analytics",2020,"e-book"
"Analytics of time management and learning strategies for effective online learning in blended environments",2020,"learning analyt"
"Trace data from student solutions to genetics problems reveals variance in the processes related to different course outcomes",2020,"genet"
"Supporting actionable intelligence: Reframing the analysis of observed study strategies",2020,"learner behaviour"
"Analyzing the consistency in within-activity learning patterns in blended learning",2020,"regular"
"Design of a curriculum analytics tool to support continuous improvement processes in higher education",2020,"higher educ"
"Testing the reliability of inter-rater reliability",2020,"interrater reli"
"What college students say, and what they do: Aligning self-regulated learning theory with behavioral logs",2020,"self-regulated learn"
"Combining analytic methods to unlock sequential and temporal patterns of self-regulated learning",2020,"learning analyt"
"How patterns of students dashboard use are related to their achievement and self-regulatory engagement",2020,"self-regulated learn"
"Focused or stuck together: Multimodal patterns reveal triads' performance in collaborative problem solving",2020,"cscw"
"Is faster better? a study of video playback speed",2020,"mooc"
"Dialogue attributes that inform depth and quality of participation in course discussion forums",2020,"community of inquiri"
"Predicting student performance in interactive online question pools using mouse interaction features",2020,"mouse movement trajectori"
"Decoding the performance in an out-of-context problem during blocked practice",2020,"interleav"
"Designing for serendipity in a university course recommendation system",2020,"filter bubbl"
"The automated grading of student open responses in mathematics",2020,"natural language process"
"How and how well do students reflect?: Multi-dimensional automated reflection assessment in health professions education",2020,"content analysi"
"The privacy paradox and its implications for learning analytics",2020,"higher educ"
"Exploring the usage of thermal imaging for understanding video lecture designs and students' experiences",2020,"instructional design"
"Prediction of students' assessment readiness in online learning environments: The sequence matters",2020,"learning analyt"
"Using a cluster-based regime-switching dynamic model to understand embodied mathematical learning",2020,"embodied cognit"
"Assessment that matters: Balancing reliability and learner-centered pedagogy in MOOC assessment",2020,"learning analyt"
"Constructing and predicting school advice for academic achievement: A comparison of item response theory and machine learning techniques",2020,"explainable ai"
"Technologies for automated analysis of co-located, real-life, physical learning spaces: Where are we now?",2019,"educational data min"
"Different types of response-based feedback in mathematics: The case of textual and symbolic messages",2019,"log analysi"
"On multi-device use: Using technological modality profiles to explain differences in students' learning",2019,"learning analyt"
"Semi-automatic generation of intelligent curricula to facilitate learning analytics",2019,"nlp"
"DEBE feedback for large lecture classroom analytics",2019,"learning analyt"
"The timeliness deviation: A novel approach to evaluate educational recommender systems for closed-courses",2019,"time-dependent evaluation framework"
"Differences in student trajectories via filtered time series analysis in an immersive virtual world",2019,"learning analyt"
"Cross-platform analytics: A step towards personalization and adaptation in education",2019,"learning analyt"
"Topic development to support revision feedback",2019,"topic model"
"Validating the use of LMS-derived rubric structural features to facilitate automated measurement of rubric quality",2019,"string distance metr"
"Predicting student success in communication skills learning scenarios with virtual humans",2019,"doctor-patient commun"
"Modeling gender dynamics in intra and interpersonal interactions during online collaborative learning",2019,"communication behavior"
"Contextualizable learning analytics design: A generic model and writing analytics evaluations",2019,"conceptual model"
"Deep knowledge tracing and engagement with MOOCs",2019,"mooc"
"Read between the lines: An annotation tool for multimodal data for learning",2019,"learning analyt"
"Towards hybrid human-system regulation: Understanding children' SRL support needs in blended classrooms",2019,"blended classroom"
"Fairer but not fair enough on the equitability of knowledge tracing",2019,"fair"
"Descriptive and predictive modeling of student achievement, satisfaction, and mental health for data-driven smart connected campus life service",2019,"descriptive model"
"Affect sequences and learning in Betty's brain",2019,"affect dynam"
"The impact of student opt-out on educational predictive models",2019,"ensembl"
"“I spent more time with that team”: Making spatial pedagogy visible using positioning sensors",2019,"iot"
"Introducing meaning to clicks: Towards traced-measures of self-efficacy and cognitive load",2019,"learning analyt"
"Integrated closed-loop learning analytics scheme in a first year experience course",2019,"at-risk stud"
"Would you? Could you? On a tablet? Analytics of children's ebook reading",2019,"children's read"
"Measuring knowledge gaps in student responses by mining networked representations of texts",2019,"knowledge gap measur"
"Effective feature learning with unsupervised learning for improving the predictive models in massive open online courses",2019,"dimensionality reduct"
"Top concept networks of professional education reflections",2019,"professional educ"
"Motivated information seeking and graph comprehension among college students",2019,"instrument valid"
"Language as thought: Using natural language processing to model noncognitive traits that predict college success",2019,"common app"
"Beyond A/B testing: Sequential randomization for developing interventions in scaled digital learning environments",2019,"mooc"
"Utilizing learning analytics to map students' self-reported study strategies to click behaviors in STEM courses",2019,"learning analyt"
"The validity and utility of activity logs as a measure of student engagement",2019,"student engag"
"Social comparison in MOOCs: Perceived SES, opinion, and message formality",2019,"peer feedback"
"Analytics of learning strategies: Associations with academic performance and feedback",2019,"feedback"
"Are you talking to me? Multi-dimensional language analysis of explanations during reading",2019,"corpus linguist"
"Comparison of ranking and rating scales in online peer assessment: Simulation approach",2019,"peer evalu"
"Using detailed access trajectories for learning behavior analysis",2019,"learning pattern"
"Transfer learning using representation learning in massive open online courses",2019,"dimensionality reduct"
"Counting clicks is not enough: Validating a theorized model of engagement in learning analytics",2019,"factor analysi"
"Student centred design of a learning analytics system",2019,"learning analyt"
"DiAD: Domain adaptation for learning at scale",2019,"domain adapt"
"Exploring the subtleties of agency and indirect control in digital learning games",2019,"digital learning gam"
"Challenges on implementing learning analytics over countrywide K-12 data",2019,"early warning system"
"A study on curriculum planning and its relationship with graduation GPA and time to degree",2019,"course sequenc"
"Multichannel data for understanding cognitive affordances during complex problem solving",2019,"complex problem solv"
"Analysing discussion forum data: A replication study avoiding data contamination",2019,"community of inquiri"
"Can background music facilitate learning? Preliminary results on reading comprehension",2019,"background mus"
"Exploring learner engagement patterns in teach-outs",2019,"mooc"
"Predicting the well-functioning of learning groups under privacy restrictions",2019,"online cours"
"Investigating the usage patterns of algebra nation tutoring platform",2019,"math educ"
"User2Code2vec: Embeddings for profiling students based on distributional representations of source code",2019,"code2vec"
"Evaluating the fairness of predictive student models through slicing analysis",2019,"machine learn"
"Where you are, not what you see: The impact of learning environment on mind wandering and material retention",2019,"memori"
"Square it up! How to model step duration when predicting student performance",2019,"step dur"
"Exploring programming semantic analytics with deep learning models",2019,"deep learn"
"Refusing to try: Characterizing early stopout on student assignments",2019,"persist"
"Learning analytics at the intersections of student trust, disclosure and benefit",2019,"informed cons"
"The impact of an online tutoring program for algebra readiness on mathematics achievements; results of a randomized experiment",2019,"math educ"
"Clustering analysis reveals authentic science inquiry trajectories among undergraduates",2019,"cluster"
"Towards value-sensitive learning analytics design",2019,"learning analyt"
"Towards enabling feedback on rhetorical structure with neural sequence models",2019,"bidirectional lstm"
"Increasing the impact of learning analytics",2019,"epistemic network analysi"
"An analysis of student representation, representative features and classification algorithms to predict degree dropout",2019,"dropout predict"
"Reliable deep grade prediction with uncertainty estimation",2019,"educational data min"
"Exploring students' sensemaking of learning analytics dashboards: Does frame of reference make a difference?",2019,"learning dashboard"
"UPM: Discovering course enrollment sequences associated with success",2019,"student enrollment sequ"
"Comprehension factor analysis: Modeling student's reading behaviour",2019,"mooc"
"Knowledge Query Network for Knowledge Tracing: How Knowledge Interacts with Skills",2019,"domain model"
"Player pairs valuation in ice hockey",2019,"player valu"
"Predicting pass receiver in football using distance based features",2019,"interception predict"
"Real-time power performance prediction in tour de france",2019,"machine learn"
"Football pass prediction using player locations",2019,"pass predict"
"Ranking the teams in european football leagues with agony",2019,"footbal"
"Predicting the receivers of football passes",2019,"gradient boosting decision tre"
"Measuring football players’ on-the-ball contributions from passes during games",2019,"pass valu"
"Distinguishing between roles of football players in play-by-play match event data",2019,"player recruit"
"Model trees for identifying exceptional players in the NHL and NBA drafts",2019,"m5 regression tre"
"Automatic classification of strike techniques using limb trajectory data",2019,"limb trajectory analysi"
"Player valuation in European football",2019,"player valu"
"Forecasting the fifa world cup – combining result- and goal-based team ability parameters",2019,"tournament simul"
"A progressive resampling algorithm for finding very sparse investment portfolios",2019,"randomized algorithm"
"A web crawling environment to support financial strategies and trend correlation: – extended abstract –",2019,"machine learn"
"Calibrating the mean-reversion parameter in the hull-white model using neural networks",2019,"hull-white model"
"Deep factor model: Explaining deep learning decisions for forecasting stock returns with layer-wise relevance propagation",2019,"deep learn"
"Exploring students eating habits through individual profiling and clustering analysis",2019,"food analyt"
"A comparison of neural network methods for accurate sentiment analysis of stock market tweets",2019,"sentiment analysi"
"Privacy preserving client/vertical-servers classification",2019,"private evalu"
"ICIE 1.0: A novel tool for interactive contextual interaction explanations",2019,"explan"
"A multivariate and multi-step ahead machine learning approach to traditional and cryptocurrencies volatility forecasting",2019,"multi-step ahead forecast"
"A differential privacy workflow for inference of parameters in the rasch model",2019,"rasch model"
"Data-driven generation of rubric criteria from an educational programming environment",2018,"computer science educ"
"Methodological foundations for the measurement of learning in learning analytics",2018,"learning analyt"
"“I’ll do it!”: Examining the relationship between locus of control and math game retention for preschoolers",2018,"online math gam"
"Capitalisation of analysis processes: Enabling reproducibility, openness and adaptability thanks to narration",2018,"analysis processes of learning trac"
"Driving data storytelling from learning design",2018,"data storytel"
"Discovery and temporal analysis of latent study patterns in MOOC interaction sequences",2018,"edm"
"PHS profiling students from their questions in a blended learning environment",2018,"cluster"
"Conceptualizing Co-enrollment: Accounting for student experiences across the curriculum",2018,"early warning system"
"Towards a data archiving solution for learning analytics",2018,"big data"
"An application of participatory action research in advising-Focused learning analytics",2018,"intervention evalu"
"The pragmatic maxim as learning analytics research method",2018,"learning analyt"
"Gaze insights into debugging behavior using learner-Centred analysis",2018,"debug"
"Graph-Based visual topic dependency models supporting assessment design and delivery at scale",2018,"student assess"
"Embracing imperfection in learning analytics",2018,"hidden assumpt"
"The half-Life of MOOC knowledge a randomized trial evaluating knowledge retention and retrieval practice in MOOCs",2018,"knowledge retent"
"Prospectively predicting 4-Year college graduation from student applications",2018,"college success"
"Connecting decentralized learning records: A blockchain based learning analytics platform",2018,"learning analyt"
"A multi-Dimensional analysis of writing flexibility in an automated writing evaluation system",2018,"flexibl"
"A generalized classifier to identify online learning tool disengagement at scale",2018,"economic educ"
"Analytics-Enabled teaching as design: Reconceptualisation and call for research",2018,"design cognit"
"Towards a writing analytics framework for adult english language learners",2018,"immigr"
"A framework for developing metrics of youth engagement in informal learning environments",2018,"informal learn"
"Epistemic network analysis of students’ longer written assignments as formative/Summative evaluation",2018,"format"
"Multi-Institutional positioning test feedback dashboard for aspiring students lessons learnt from a case study in flanders",2018,"feedback"
"The complexities of developing a personal code of ethics for learning analytics practitioners implications for institutions and the field",2018,"professional respons"
"Correlating affect and behavior in reasoning mind with state test achievement",2018,"high-stakes test"
"Are MOOC forums changing?",2018,"mooc"
"License to evaluate: Preparing learning analytics dashboards for educational practice",2018,"evalu"
"Co-Creation strategies for learning analytics",2018,"co-design"
"Explaining learning performance using response-Time, self-Regulation and satisfaction from content: An fsQCA approach",2018,"fuzzy set qualitative comparative analysi"
"A qualitative evaluation of a learning dashboard to support advisor-Student dialogues",2018,"insight"
"A diagnostic tool for competency-Based program engineering",2018,"competency based educ"
"The influence of students’ cognitive and motivational characteristics on students’ use of a 4C/ID-based online learning environment and their learning gain",2018,"instructional design"
"Reciprocal peer recommendation for learning purposes",2018,"peer support"
"Rethinking learning analytics adoption through complexity leadership theory",2018,"leadership"
"(Dis)Engagement matters: Identifying efficacious learning practices with multimodal learning analytics",2018,"engineering design"
"The RAP system: Automatic feedback of oral presentation skills using multimodal analysis and low-Cost sensors",2018,"gaze"
"The teacher in the loop: Customizing multimodal learning analytics for blended learning",2018,"custom"
"Supporting teachers’ intervention in students’ virtual collaboration using a network based model",2018,"immersive learning environ"
"The classroom as a dashboard: Co-designing wearable cognitive augmentation for K-12 teachers",2018,"co-design"
"SHEILA policy framework: Informing institutional strategies and policy processes of learning analytics",2018,"learning analyt"
"Recurrence quantification analysis as a method for studying text comprehension dynamics",2018,"read"
"Linking students’ timing of engagement to learning design and academic performance",2018,"higher educ"
"Using embedded formative assessment to predict state summative test scores",2018,"assess"
"Physical learning analytics: A multimodal perspective",2018,"indoor posit"
"Analysis of interactions between lecturers and students",2018,"interact"
"Understand students’ self-Reflections through learning analytics",2018,"online learn"
"Coenrollment networks and their relationship to grades in undergraduate education",2018,"learning analyt"
"Studying MOOC completion at scale using the MOOC replication framework",2018,"meta-analysi"
"Can’t get more satisfaction? Game-Theoretic group-Recommendation of educational resources",2018,"group recommend"
"Online change detection for monitoring individual student behavior via clickstream data on E-book system",2018,"clickstream"
"Video and learning: A systematic review (2007-2017)",2018,"video-based learn"
"Finding traces of self-Regulated learning in activity streams",2018,"clickstream act"
"Running out of STEM: A comparative study across STEM majors of college students At-Risk of dropping out early",2018,"regress"
"Open learner models and learning analytics dashboards: A systematic review",2018,"literature review"
"What exactly do students learn when they practice equation solving? Refining knowledge components with the additive factors model",2018,"equation solv"
"Unpacking the relationship between discussion forum participation and learning in MOOCs: Content is key",2018,"learning outcom"
"Learning Analytics and Policy (LAP) - International aspirations, achievements and constraints",2017,"learning analyt"
"Beyond failure: The 2nd LAK Failathon",2017,"evid"
"Workshop on integrated learning analytics of MOOC post-course development",2017,"learning analyt"
"Planning prompts increase and forecast course completion in massive open online courses",2017,"mooc"
"Widget, widget as you lead, I am performing well indeed! using results from an exploratory offline study to inform an empirical online study about a learning analytics widget in a collaborative learning environment",2017,"statistical analysi"
"ATCE - An analytics tool to trace the creation and evaluation of inclusive and accessible open educational resources",2017,"learning analyt"
"Trends and issues in student-facing learning analytics reporting systems research",2017,"learning analyt"
"Impact of student choice of content adoption delay on course outcomes",2017,"effect s"
"Automated analysis of aspects of written argumentation",2017,"latent semantics analysi"
"A neural network approach for students' performance prediction",2017,"predication of student's perform"
"Studying engagement and performance with learning technology in an African classroom",2017,"educ"
"Supporting collaborative learning with tag recommendations: A real-world study in an inquiry-based classroom project",2017,"cognitive user model"
"Using item response theory to generate an item pool for an e-learning-system",2017,"big data analysi"
"Business intelligence (BI) for personalized student dashboards",2017,"excel"
"Using learning analytics to explore help-seeking learner profiles in MOOCs",2017,"learning analyt"
"An elephant in the learning analytics room - The obligation to act",2017,"obligation to act eth"
"Honing in on social learning networks in MOOC forums: Examining critical network definition decisions",2017,"massive open online cours"
"Real-time learning analytics for C programming language courses",2017,"information visu"
"An automatic approach for discovering skill relationship from learning data",2017,"deep learn"
"Dear learner: Participatory visualisation of learning data for sensemaking",2017,"participatori"
"What'd you say again? Recurrence quantification analysis as a method for analyzing the dynamics of discourse in a reading strategy tutor",2017,"dynam"
"Using predictive analytics in a self-regulated learning university course to promote student success",2017,"learning analyt"
"An information policy perspective on learning analytics",2017,"information polici"
"Follow the successful crowd: Raising MOOC completion rates through social comparison at scale?",2017,"feedback"
"Where is the evidence? A call to action for learning analytics",2017,"ethic"
"[LISA] learning analytics for sensor-based adaptive learning",2017,"learner awar"
"Dynamics of MOOC discussion forums",2017,"discussion forum"
"Best intentions: Learner feedback on learning analytics visualization design",2017,"information visu"
"Workshop on methodology in learning analytics (MLA)",2017,"measur"
"2nd cross-LAK: Learning analytics across physical and digital spaces",2017,"learning analyt"
"Intelligent tutors as teachers' aides: Exploring teacher needs for real-time analytics in blended classrooms",2017,"blended learn"
"Mining Knowledge Components from many untagged questions",2017,"knowledge compon"
"Person-centered approach to explore learner's emotionality in learning within a 3D narrative game",2017,"complex learn"
"Tracing physical movement during practice-based learning through Multimodal Learning Analytics",2017,"collaborative problem solv"
"The influence of data protection and privacy frameworks on the design of learning analytics systems",2017,"data protection by default"
"Implementing predictive learning analytics on a large scale: The teacher's perspective",2017,"percept"
"Discourse analysis to improve the effective engagement of MOOC videos",2017,"discours"
"Strategies for data and learning analytics informed national education policies: The case of Uruguay",2017,"education polici"
"Supporting learning analytics in computing education",2017,"data collect"
"From prediction to impact: Evaluation of a learning analytics retention program",2017,"learning analyt"
"Forecasting student outcomes at university-wide scale using machine learning",2017,"machine learn"
"Current and future multimodal learning analytics data challenges",2017,"dataset"
"Learning from learning curves: Discovering interpretable learning trajectories",2017,"learning curv"
"A systematic review of studies on predicting student learning outcomes using learning analytics",2017,"learning outcom"
"Modeling exploration strategies to predict student performance within a learning environment and beyond",2017,"predict"
"Temporal analytics with discourse analysis: Tracing ideas and impact on communal discourse",2017,"idea measur"
"Learning pulse: A machine Learning approach for predicting performance in self-regulated learning using multimodal data",2017,"learning analyt"
"Using data visualizations to foster emotion regulation during self-regulated learning with advanced learning technologies: A conceptual framework",2017,"emotion regul"
"When learning is high stake",2017,"learning analyt"
"The effects of a learning analytics empowered technology on students' arithmetic skill development",2017,"arithmet"
"Improving learning through achievement priming in crowdsourced information finding microtasks",2017,"crowd work"
"Assessment of language in authentic Science inquiry reveals putative differences in epistemology",2017,"authentic science inquiri"
"Student perceptions of their privacy in leaning analytics applications",2017,"higher educ"
"Data-assisted instructional video revision via course-level exploratory video retention analysis",2017,"exploratory analysi"
"How to assign students into sections to raise learning",2017,"classmat"
"EMODA: A tutor oriented multimodal and contextual emotional dashboard",2017,"interactive visu"
"Don't call it a comeback: Academic recovery and the timing of educational technology adoption",2017,"educational technolog"
"Community based educational data repositories and analysis tools",2017,"data-informed effort"
"Measures for recommendations based on past students' activity",2017,"learning analyt"
"Using correlational topic modeling for automated topic identification in intelligent tutoring systems",2017,"intelligent tutoring system"
"Topic models to support instructors in MOOC forums",2017,"mooc"
"La policy: Developing an institutional policy for learning analytics using the RAPID outcome mapping approach",2017,"learning analyt"
"Student empowerment, awareness, and self-regulation through a quantified-self student tool",2017,"learning analyt"
"An outcome-based dashboard for Moodle and Open edX",2017,"moodl"
"Towards mining sequences and dispersion of rhetorical moves in student written texts",2017,"learning analyt"
"Video annotation tool for learning job interview",2017,"video annotation tool"
"What are visitors up to? Helping museum facilitators know what visitors are doing",2017,"markov model"
"Classifying help seeking behaviour in online communities",2017,"help seek"
"Opportunities for personalization in modeling students as Bayesian learners",2017,"context model"
"Predicting math performance using natural language processing tools",2017,"natural language process"
"Scientific modeling: Using learning analytics to examine student practices and classroom variation",2017,"collaborative model"
"Reflective writing analytics for actionable feedback",2017,"learning analyt"
"Reproducibility of findings from educational big data: A preliminary study",2017,"educational big data"
"Using learning analytics in iterative design of a digital modeling tool",2017,"iterative design"
"Learning analytics in a seamless learning environment",2017,"seamless learn"
"An instructor dashboard for real-time analytics in interactive programming assignments",2017,"introductory program"
"Reflective writing analytics - Empirically determined keywords of written reflection",2017,"natural language process"
"Analytics meet patient manikins: Challenges in an authentic small-group healthcare simulation classroom",2017,"classroom"
"Predicting the decrease of engagement indicators in a MOOC",2017,"mooc"
"DesignLAK17: Quality metrics and indicators for analytics of assessment design at scale",2017,"feedback"
"Uncovering reviewing and reflecting behaviors from paper-based formal assessment",2017,"computing educ"
"How can we accelerate dissemination of knowledge and learning?: Developing an online knowledge management platform for Networked Improvement Communities",2017,"improvement sci"
"Buying time: Enabling learners to become earners with a real-world paid task recommender system",2017,"learning design"
"Automating student survey reports in online education for faculty and instructional designers",2017,"course design"
"Exploring the measurement of collaborative problem solving using a human-agent educational game",2017,"computer ag"
"What do students want? Towards an instrument for students' evaluation of quality of learning analytics services",2017,"learning analyt"
"Expanding the scope of learning analytics data: Preliminary findings on attention and self-regulation using wearable technology",2017,"heart-rate vari"
"Unravelling the dynamics of instructional practice: A longitudinal study on learning design and vle activities",2017,"learning design"
"Cooking with learning analytics recipes",2017,"cookbook"
"Developing a MOOC experimentation platform: Insights from a user study",2017,"analysis platform"
"Examining motivations and self-regulated learning strategies of returning MOOCs learners",2017,"mooc"
"Quasi-experimental design for causal inference using Python and Apache Spark: A hands-on tutorial",2017,"big data"
"Connecting data with student support actions in a course: A hands-on tutorial",2017,"instructiona design"
"New features in wikiglass, a learning analytic tool for visualizing collaborative work on wikis",2017,"thinking ord"
"Understanding student learning trajectories using multimodal learning analytics within an embodied-interaction learning environment",2017,"embodi"
"Relevance of Learning analytics to measure and support students' learning in adaptive educational technologies",2017,"educational data min"
"What does student writing tell us about their thinking on social justice?",2017,"social justic"
"Large scale predictive process mining and analytics of university degree course data",2017,"learning analyt"
"Spacle: Investigating learning across virtual and physical spaces using spatial replays",2017,"causal model"
"FutureLearn data: What we currently have, what we are Learning and how it is demonstrating learning in MOOCs",2017,"mooc"
"Sequencing content in an adaptive testing system: The role of choice",2017,"mastery learn"
"Detecting changes in student behavior from clickstream data",2017,"poisson model"
"Exploring the asymmetry of metacognition",2017,"big data"
"Learning analytics in higher education - Challenges and policies: A review of eight learning analytics policies",2017,"code of practic"
"Ouroboros: Early identification of at-risk students without models based on legacy data",2017,"learning analyt"
"Developing institutional learning analytics 'communities of transformation' to support student success",2017,"communities of transform"
"Understanding the relationship between technology use and cognitive presence in MOOCs",2017,"mooc"
"Utilizing visualization and feature selection methods to identify important learning objectives in a course",2017,"feature select"
"Guidance counselor reports of the ASSISTments college Prediction model (acpm)",2017,"guidance counselor"
"Writing analytics literacy - Bridging from research to practice",2017,"automated writing evalu"
"Write-and-learn: Promoting meaningful learning through concept map-based formative feedback on writing assignments",2017,"concept map"
"Enhancing learning through virtual reality and neurofeedback: A first step",2017,"human-computer interact"
"LAK17 Hackathon - Getting the right information to the right people so they can take the right action",2017,"contextual appropriaci"
"Transitioning self-regulated learning profiles in hypermedia-learning environments",2017,"latent transition analysi"
"Words matter: Automatic detection of teacher questions in live classroom discourse using linguistics, acoustics, and context",2017,"classroom analyt"
"MORPH: Supporting the integration of learning analytics at institutional level",2017,"dashboard"
"Students' emotional self-labels for personalized models",2017,"intelligent tutoring systems (its)"
"Predicting e-textbook adoption based on event segmentation of teachers' usage",2017,"feature find"
"Beyond failure: The 2nd LAK Failathon poster",2017,"evid"
"How effective is your facilitation? Group-level analytics of MOOC forums",2017,"facilit"
"Workshop: Building the learning analytics curriculum",2017,"learning analytics instruct"
"Put your thinking cap on: Detecting cognitive load using EEG during learning",2017,"eeg"
"Churn prediction using dynamic RFM-augmented Node2vec",2017,"dynamic network"
"Multi-scale community detection in temporal networks using spectral graph wavelets",2017,"multilayer network"
"Influence maximization-based event organization on social networks",2017,"influence maxim"
"Co-clustering for differentially private synthetic data generation",2017,"differential privaci"
"From self-data to self-preferences: Towards preference elicitation in personal information management systems",2017,"prefer"
"Evaluating the impact of friends in predicting user’s availability in online social networks",2017,"online social network"
"Guess the movie - Linking facebook pages to IMDb movies",2017,"information retriev"
"Your privacy, my privacy? On leakage risk assessment in online social networks",2017,"online social network"
"Learning design and feedback processes at scale: Stocktaking emergent theory and practice",2016,"feedback"
"An analysis framework for collaborative problem solving in practice-based learning activities: A mixed-method approach",2016,"collaborative learn"
"Exploring the interplay between human and machine annotated multimodal learning analytics in hands-on STEM Activities",2016,"learning analyt"
"Teaching analytics: Towards automatic extraction of orchestration graphs using wearable sensors",2016,"multimodal learning analyt"
"A Pedagogical framework for learning analytics in collaborative inquiry tasks: An Example from a teamwork competency awareness program",2016,"collabor"
"Data2U: Scalable real time student feedback in active learning environments",2016,"feedback"
"Reflecting on reflective writing analytics: Assessment challenges and iterative evaluation of a prototype tool",2016,"learning analyt"
"Applying classification techniques on temporal trace data for shaping student behavior models",2016,"computerbas"
"Improving efficacy attribution in a self-directed learning environment using prior knowledge individualization",2016,"educ"
"Pipeline for expediting learning analytics and student support from data in social learning",2016,"social learn"
"LAK failathon",2016,"negative result"
"Recipe for Success - Lessons learnt from using xAPI within the connected learning analytics toolkit",2016,"cla toolkit"
"A study on eye fixation patterns of students in higher education using an online learning system",2016,"eye track"
"Student perspectives on data provision and use: Starting to unpack disciplinary differences",2016,"knowledg"
"The role of achievement goal orientations when studying effect of learning analytics visualizations",2016,"dashboard"
"Smart environments and analytics on video-based learning",2016,"learning analyt"
"Educational Data mining with python and apache spark: A hands-on tutorial",2016,"data min"
"The impact of 151 learning designs on student satisfaction and performance: Social learning (analytics) matters",2016,"data analyt"
"The learning analytics readiness instrument",2016,"higher educ"
"Integrating physical activity data in videogames with user-centered dashboards",2016,"dashboard"
"Using Game analytics to evaluate puzzle design and level progression in a serious game",2016,"educational data min"
"Introduction of Learning Visualisations and Metacognitive Support in a Persuadable Open Learner Model",2016,"open learner model"
"Demonstration of the unizin sentiment visualizer",2016,"intervent"
"The Dutch xAPI experience",2016,"data stan-dard"
"Towards automated content analysis of discussion transcripts: A cognitive presence case",2016,"content analysi"
"Learning analytics in practice The effects of adaptive educational technology Snappet on students' arithmetic skills",2016,"arithmet"
"Designing MOOCs for Success: A student motivation-Oriented framework",2016,"framework"
"Reviewing three case-studies of learning analytics interventions at the Open University UK",2016,"distance learn"
"Fostering 21st century literacies through a collaborative critical reading and learning analytics environment: Userperceived benefits and problematic",2016,"critical literaci"
"Understanding learning at a glance: An overview of learning dashboard studies",2016,"educational data min"
"What can analytics contribute to accessibility in e-learning systems and to disabled students' learning?",2016,"hci"
"The connected learning analytics toolkit",2016,"sensemak"
"Ethical and privacy issues in the design of learning analytics applications",2016,"ethic"
"Validity: A framework for cross-disciplinary collaboration in mining indicators of learning from MOOC forums",2016,"crowd-sourced learn"
"Wikiglass: A learning analytic tool for visualizing collaborative wikis of secondary school students",2016,"statist"
"Learning analytics in a flipped University course",2016,"formative assess"
"Learning through goal setting",2016,"learning analyt"
"Untangling MOOC learner networks",2016,"interpersonal interact"
"Towards triggering higher-order thinking behaviors in MOOCs",2016,"discuss"
"Generating actionable predictive models of academic performance",2016,"learning analyt"
"Learning analytics for curriculum and program quality improvement (PCLA 2016)",2016,"latex"
"Interactive surfaces and learning analytics: Data, orchestration aspects, pedagogical uses and challenges",2016,"dashboard"
"Cross-LAK: Learning analytics across physical and digital spaces",2016,"learning analyt"
"Predicting student performance on post-requisite skills using prerequisite skill data: An alternative method for refining prerequisite skill structures",2016,"placement"
"Learning analytics for workplace and professional learning",2016,"workplace learn"
