"Article","Year","Author","Stem"
"User2Code2vec: Embeddings for profiling students based on distributional representations of source code",2019,"Azcona, D.","user2code2vec"
"Towards enabling feedback on rhetorical structure with neural sequence models",2019,"Fiacco, J.","rhetorical structur"
"Knowledge Query Network for Knowledge Tracing: How Knowledge Interacts with Skills",2019,"Lee, J.","learner model"
"ICIE 1.0: A novel tool for interactive contextual interaction explanations",2019,"van der Zon, S.B.","trust"
"Capitalisation of analysis processes: Enabling reproducibility, openness and adaptability thanks to narration",2018,"Lebis, A.","open"
"Discovery and temporal analysis of latent study patterns in MOOC interaction sequences",2018,"Boroujeni, M.S.","sequence min"
"Connecting decentralized learning records: A blockchain based learning analytics platform",2018,"Ocheja, P.","smart contract"
"Analytics-Enabled teaching as design: Reconceptualisation and call for research",2018,"Alhadad, S.S.J.","teaching as design"
"License to evaluate: Preparing learning analytics dashboards for educational practice",2018,"Jivet, I.","social comparison"
"The classroom as a dashboard: Co-designing wearable cognitive augmentation for K-12 teachers",2018,"Holstein, K.","prototyp"
"Physical learning analytics: A multimodal perspective",2018,"Martinez-Maldonado, R.","wearabl"
"Studying MOOC completion at scale using the MOOC replication framework",2018,"Andres, J.M.L.","replic"
"Supporting collaborative learning with tag recommendations: A real-world study in an inquiry-based classroom project",2017,"Kopeinik, S.","semantic stabil"
"Where is the evidence? A call to action for learning analytics",2017,"Ferguson, R.","reliabl"
"Intelligent tutors as teachers' aides: Exploring teacher needs for real-time analytics in blended classrooms",2017,"Holstein, K.","teacher"
"Person-centered approach to explore learner's emotionality in learning within a 3D narrative game",2017,"Xu, Z.","learner trait"
"The influence of data protection and privacy frameworks on the design of learning analytics systems",2017,"Hoel, T.","personal inform"
"Supporting learning analytics in computing education",2017,"Olivares, D.M.","visual"
"Improving learning through achievement priming in crowdsourced information finding microtasks",2017,"Gadiraju, U.","retent"
"Assessment of language in authentic Science inquiry reveals putative differences in epistemology",2017,"Peffer, M.E.","taal"
"Student empowerment, awareness, and self-regulation through a quantified-self student tool",2017,"Arnold, K.E.","reflective learning practic"
"Towards mining sequences and dispersion of rhetorical moves in student written texts",2017,"Knight, S.","text min"
"What are visitors up to? Helping museum facilitators know what visitors are doing",2017,"Kumar, V.","tinker"
"Uncovering reviewing and reflecting behaviors from paper-based formal assessment",2017,"Hsiao, I.-H.","reflect"
"How can we accelerate dissemination of knowledge and learning?: Developing an online knowledge management platform for Networked Improvement Communities",2017,"Manai, O.","statistical analysi"
"Automating student survey reports in online education for faculty and instructional designers",2017,"Burns, S.","rodbcext"
"Developing a MOOC experimentation platform: Insights from a user study",2017,"Kovanović, V.","user studi"
"Exploring the asymmetry of metacognition",2017,"Aghababyan, A.","perform"
"A Pedagogical framework for learning analytics in collaborative inquiry tasks: An Example from a teamwork competency awareness program",2016,"Koh, E.","teamwork"
"Reflecting on reflective writing analytics: Assessment challenges and iterative evaluation of a prototype tool",2016,"Shum, S.B.","writing analyt"
"Improving efficacy attribution in a self-directed learning environment using prior knowledge individualization",2016,"Pardos, Z.A.","self-directed learn"
"Educational Data mining with python and apache spark: A hands-on tutorial",2016,"Agnihotri, L.","paral- lel comput"
"Demonstration of the unizin sentiment visualizer",2016,"Freeman, J.D.","sentiment analysi"
"Validity: A framework for cross-disciplinary collaboration in mining indicators of learning from MOOC forums",2016,"Milligan, S.","mooc"
"Interactive surfaces and learning analytics: Data, orchestration aspects, pedagogical uses and challenges",2016,"Roberto, M.-M.","studies in the wild"
"English language learner experiences of formal and informal learning environments",2016,"Epp, C.D.","language learn"
"Topic modeling for evaluating students' reflective writing: A case study of pre-Service teachers' journals",2016,"Chen, Y.","text min"
"Privacy and analytics - it's a DELICATE issue a checklist for trusted learning analytics",2016,"Drachsler, H.","privaci"
"Combining click-Stream data with NLP tools to better understand MOOC completion",2016,"Crossley, S.","sentiment analysi"
"Benchmarking student performance and engagement in an early alert predictive system using interactive radar charts",2016,"Jayaprakash, S.M.","visual"
"Semantic visual analytics for today's programming courses",2016,"Hsiao, I.-H.","visual analyt"
"Qualitatively exploring electronic portfolios: A text mining approach to measuring student emotion as an early warning indicator",2015,"Nwanganga, F.","reecting learn"
"Measuring student success using predictive engine",2015,"Shehata, S.","student success"
"Crowd-sourced learning in MOOCs: Learning analytics meets measurement theory",2015,"Milligan, S.","learning progress"
"Improving undergraduate student achievement in large blended courses through data-driven interventions",2015,"Dodge, B.","motiv"
"Correlations between automated rhetorical analysis and tutors' grades on student essays",2015,"Simsek, D.","rhetorical pars"
"Topic facet modeling: Semantic visual analytics for online discussion forums",2015,"Hsiao, I.-H.","slda"
"Digital badges and ethics: The uses of individual learning data in social contexts",2015,"Willis, J.E., III","network"
"An online badging system supporting educators' STEM learning",2015,"Gamrat, C.","stem educ"
"How to design experimental research studies around digital badges",2015,"McDaniel, R.","learn"
"Temporal density extrapolation",2015,"Krempl, G.","spatio-temporal dens"
"A Linked-Data-driven Web portal for learning analytics: Data enrichment, interactive visualization, and knowledge discovery",2014,"Hu, Y.","topic model"
"Deconstruct and reconstruct: Using topic modeling on an analytics corpus",2014,"Sharkey, M.","lak"
"On using Markov chain to evidence the learning structures and difficulty levels of one digit multiplication",2014,"Taraghi, B.","primary school"
"Open academic early alert system: Technical demonstration",2014,"Jayaprakash, S.M.","retent"
"Patterns of persistence: What engages students in a remedial English writing MOOC?",2014,"Whitmer, J.","under-represented minority stud"
"Practice exams make perfect: Incorporating course resource use into an early warning system",2014,"Waddington, R.J.","model"
"Setting learning analytics in context: Overcoming the barriers to large-scale adoption",2014,"Ferguson, R.","learn"
"Educational data sciences - Framing emergent practices for analytics of learning, organizations, and systems",2014,"Piety, P.J.","learner analyt"
"Building institutional capacities and competencies for systemic learning analytics initiatives",2014,"Arnold, K.E.","systemic appl"
"DCLA14: Second international workshop on discourse-centric learning analytics",2014,"Ferguson, R.","visualis"
"Uncovering what matters: Analyzing transitional relations among contribution types in knowledge-building discourse",2014,"Chen, B.","temporal analysi"
"What different kinds of stratification can reveal about the generalizability of data-mined skill assessment models",2013,"Sao Pedro, M.A.","science simul"
"Understanding promotions in a case study of student blogging",2013,"Gunnarsson, B.L.","quality cont"
"Considering formal assessment in learning analytics within a PLE: The HOU2LEARN case",2013,"Koulocheri, E.","metric"
"Nanogenetic learning analytics: Illuminating student learning pathways in an online fraction game",2013,"Martin, T.","measur"
"An evaluation of learning analytics to identify exploratory dialogue in online discussions",2013,"Ferguson, R.","k-nearest neighbour"
"Affective states and state tests: Investigating how affect throughout the school year predicts end of year learning outcomes",2013,"Pardos, Z.A.","predict"
"An exploratory approach to measuring collaborative engagement in child robot interaction",2020,"Kim, Y.","multimodal data analyt"
"Predicting student success in a blended learning environment",2020,"Van Goidsenhoven, S.","random forest classif"
"Comparison of ranking and rating scales in online peer assessment: Simulation approach",2019,"Babik, D.","valid"
"A study on curriculum planning and its relationship with graduation GPA and time to degree",2019,"Morsy, S.","time to degre"
"Towards enabling feedback on rhetorical structure with neural sequence models",2019,"Fiacco, J.","writing feedback"
"Knowledge Query Network for Knowledge Tracing: How Knowledge Interacts with Skills",2019,"Lee, J.","learning analyt"
"Capitalisation of analysis processes: Enabling reproducibility, openness and adaptability thanks to narration",2018,"Lebis, A.","reproduc"
"Discovery and temporal analysis of latent study patterns in MOOC interaction sequences",2018,"Boroujeni, M.S.","study pattern"
"Analytics-Enabled teaching as design: Reconceptualisation and call for research",2018,"Alhadad, S.S.J.","team teach"
"License to evaluate: Preparing learning analytics dashboards for educational practice",2018,"Jivet, I.","systematic review"
"The classroom as a dashboard: Co-designing wearable cognitive augmentation for K-12 teachers",2018,"Holstein, K.","real-time analyt"
"Supporting collaborative learning with tag recommendations: A real-world study in an inquiry-based classroom project",2017,"Kopeinik, S.","technology enhanced learn"
"Where is the evidence? A call to action for learning analytics",2017,"Ferguson, R.","valid"
"Person-centered approach to explore learner's emotionality in learning within a 3D narrative game",2017,"Xu, Z.","scientific reason"
"The influence of data protection and privacy frameworks on the design of learning analytics systems",2017,"Hoel, T.","privacy by design"
"Student empowerment, awareness, and self-regulation through a quantified-self student tool",2017,"Arnold, K.E.","self-regulated learn"
"Towards mining sequences and dispersion of rhetorical moves in student written texts",2017,"Knight, S.","writing analyt"
"Automating student survey reports in online education for faculty and instructional designers",2017,"Burns, S.","student feedback"
"A Pedagogical framework for learning analytics in collaborative inquiry tasks: An Example from a teamwork competency awareness program",2016,"Koh, E.","teamwork compet"
"Improving efficacy attribution in a self-directed learning environment using prior knowledge individualization",2016,"Pardos, Z.A.","self-selection bia"
"Educational Data mining with python and apache spark: A hands-on tutorial",2016,"Agnihotri, L.","predictive analyt"
"Demonstration of the unizin sentiment visualizer",2016,"Freeman, J.D.","student"
"Validity: A framework for cross-disciplinary collaboration in mining indicators of learning from MOOC forums",2016,"Milligan, S.","non-negative matrix factoris"
"Interactive surfaces and learning analytics: Data, orchestration aspects, pedagogical uses and challenges",2016,"Roberto, M.-M.","visualis"
"Topic modeling for evaluating students' reflective writing: A case study of pre-Service teachers' journals",2016,"Chen, Y.","topic model"
"Privacy and analytics - it's a DELICATE issue a checklist for trusted learning analytics",2016,"Drachsler, H.","trust"
"Qualitatively exploring electronic portfolios: A text mining approach to measuring student emotion as an early warning indicator",2015,"Nwanganga, F.","text min"
"Crowd-sourced learning in MOOCs: Learning analytics meets measurement theory",2015,"Milligan, S.","measurement theori"
"Improving undergraduate student achievement in large blended courses through data-driven interventions",2015,"Dodge, B.","time log"
"Correlations between automated rhetorical analysis and tutors' grades on student essays",2015,"Simsek, D.","writing analyt"
"Topic facet modeling: Semantic visual analytics for online discussion forums",2015,"Hsiao, I.-H.","tfm"
"Digital badges and ethics: The uses of individual learning data in social contexts",2015,"Willis, J.E., III","open digital badg"
"How to design experimental research studies around digital badges",2015,"McDaniel, R.","motiv"
"Deconstruct and reconstruct: Using topic modeling on an analytics corpus",2014,"Sharkey, M.","lda"
"Practice exams make perfect: Incorporating course resource use into an early warning system",2014,"Waddington, R.J.","multinomial logistic regress"
"Setting learning analytics in context: Overcoming the barriers to large-scale adoption",2014,"Ferguson, R.","learning analyt"
"Educational data sciences - Framing emergent practices for analytics of learning, organizations, and systems",2014,"Piety, P.J.","method"
"What different kinds of stratification can reveal about the generalizability of data-mined skill assessment models",2013,"Sao Pedro, M.A.","user model"
"Understanding promotions in a case study of student blogging",2013,"Gunnarsson, B.L.","social blog"
"Considering formal assessment in learning analytics within a PLE: The HOU2LEARN case",2013,"Koulocheri, E.","outdegree centr"
"Nanogenetic learning analytics: Illuminating student learning pathways in an online fraction game",2013,"Martin, T.","perform"
"An evaluation of learning analytics to identify exploratory dialogue in online discussions",2013,"Ferguson, R.","learning analyt"
"Affective states and state tests: Investigating how affect throughout the school year predicts end of year learning outcomes",2013,"Pardos, Z.A.","tutor"
"An exploratory approach to measuring collaborative engagement in child robot interaction",2020,"Kim, Y.","mutual inform"
"A study on curriculum planning and its relationship with graduation GPA and time to degree",2019,"Morsy, S.","time to degree predict"
"Knowledge Query Network for Knowledge Tracing: How Knowledge Interacts with Skills",2019,"Lee, J.","massive open online cours"
"Capitalisation of analysis processes: Enabling reproducibility, openness and adaptability thanks to narration",2018,"Lebis, A.","reus"
"Discovery and temporal analysis of latent study patterns in MOOC interaction sequences",2018,"Boroujeni, M.S.","temporal analysi"
"The influence of data protection and privacy frameworks on the design of learning analytics systems",2017,"Hoel, T.","privacy framework"
"Automating student survey reports in online education for faculty and instructional designers",2017,"Burns, S.","survey"
"A Pedagogical framework for learning analytics in collaborative inquiry tasks: An Example from a teamwork competency awareness program",2016,"Koh, E.","twenty-first century skil"
"Educational Data mining with python and apache spark: A hands-on tutorial",2016,"Agnihotri, L.","python"
"Demonstration of the unizin sentiment visualizer",2016,"Freeman, J.D.","text min"
"Validity: A framework for cross-disciplinary collaboration in mining indicators of learning from MOOC forums",2016,"Milligan, S.","rasch analysi"
"Crowd-sourced learning in MOOCs: Learning analytics meets measurement theory",2015,"Milligan, S.","mooc"
"Topic facet modeling: Semantic visual analytics for online discussion forums",2015,"Hsiao, I.-H.","topic model"
"Digital badges and ethics: The uses of individual learning data in social contexts",2015,"Willis, J.E., III","social media"
"How to design experimental research studies around digital badges",2015,"McDaniel, R.","research design"
"Deconstruct and reconstruct: Using topic modeling on an analytics corpus",2014,"Sharkey, M.","natural languag"
"Setting learning analytics in context: Overcoming the barriers to large-scale adoption",2014,"Ferguson, R.","teach"
"What different kinds of stratification can reveal about the generalizability of data-mined skill assessment models",2013,"Sao Pedro, M.A.","valid"
"Considering formal assessment in learning analytics within a PLE: The HOU2LEARN case",2013,"Koulocheri, E.","social network analysi"
"Nanogenetic learning analytics: Illuminating student learning pathways in an online fraction game",2013,"Martin, T.","process analysi"
"An evaluation of learning analytics to identify exploratory dialogue in online discussions",2013,"Ferguson, R.","maxent"
"An exploratory approach to measuring collaborative engagement in child robot interaction",2020,"Kim, Y.","social robot"
"A study on curriculum planning and its relationship with graduation GPA and time to degree",2019,"Morsy, S.","undergraduate educ"
"Automating student survey reports in online education for faculty and instructional designers",2017,"Burns, S.","xtabl"
"Educational Data mining with python and apache spark: A hands-on tutorial",2016,"Agnihotri, L.","simul"
"Demonstration of the unizin sentiment visualizer",2016,"Freeman, J.D.","unizin"
"Validity: A framework for cross-disciplinary collaboration in mining indicators of learning from MOOC forums",2016,"Milligan, S.","topic model"
"Crowd-sourced learning in MOOCs: Learning analytics meets measurement theory",2015,"Milligan, S.","on-line forum"
"Deconstruct and reconstruct: Using topic modeling on an analytics corpus",2014,"Sharkey, M.","social network"
"Setting learning analytics in context: Overcoming the barriers to large-scale adoption",2014,"Ferguson, R.","technology-enhanced learn"
"Nanogenetic learning analytics: Illuminating student learning pathways in an online fraction game",2013,"Martin, T.","rational numb"
"An evaluation of learning analytics to identify exploratory dialogue in online discussions",2013,"Ferguson, R.","self-training framework"
"Educational Data mining with python and apache spark: A hands-on tutorial",2016,"Agnihotri, L.","spark"
"Validity: A framework for cross-disciplinary collaboration in mining indicators of learning from MOOC forums",2016,"Milligan, S.","valid"
"Crowd-sourced learning in MOOCs: Learning analytics meets measurement theory",2015,"Milligan, S.","rasch analysi"
"Deconstruct and reconstruct: Using topic modeling on an analytics corpus",2014,"Sharkey, M.","tableau"
"Setting learning analytics in context: Overcoming the barriers to large-scale adoption",2014,"Ferguson, R.","tel complex"
"An evaluation of learning analytics to identify exploratory dialogue in online discussions",2013,"Ferguson, R.","social learn"
"Educational Data mining with python and apache spark: A hands-on tutorial",2016,"Agnihotri, L.","visual"
"Deconstruct and reconstruct: Using topic modeling on an analytics corpus",2014,"Sharkey, M.","turbo top"
"An evaluation of learning analytics to identify exploratory dialogue in online discussions",2013,"Ferguson, R.","social learning analyt"
"Deconstruct and reconstruct: Using topic modeling on an analytics corpus",2014,"Sharkey, M.","visual"
"An evaluation of learning analytics to identify exploratory dialogue in online discussions",2013,"Ferguson, R.","sociallearn"
"An evaluation of learning analytics to identify exploratory dialogue in online discussions",2013,"Ferguson, R.","synchronous dialogu"
"ISENS: An integrated approach to combining epistemic and social network analyses",2020,"Shaffer, D.W.","collaborative problem solv"
"Towards automated analysis of cognitive presence in MOOC discussions: A manual classification study",2020,"Donald, C.","cognitive pres"
"An exploratory approach to measuring collaborative engagement in child robot interaction",2020,"Butail, S.","automatic speech recognit"
"LA-DECK: A card-based learning analytics co-design tool",2020,"Martinez-Maldonado, R.","card"
"Automated insightful drill-down recommendations for learning analytics dashboards",2020,"Khosravi, H.","decision tre"
"Perceptions and expectations about learning analytics from a brazilian higher education institution",2020,"Mello, R.F.","higher education institut"
"Inspiration cards workshops with primary teachers in the early co-design stages of learning analytics",2020,"Mavrikis, M.","co-design method"
"Data-informed curriculum sequences for a curriculum-integrated game",2020,"Shabrina, P.","curricular sequenc"
"R2DE: A NLP approach to estimating IRT parameters of newly generated questions",2020,"Cappelli, A.","educational data min"
"From theory to action: Developing and evaluating learning analytics for learning design",2020,"Dimitriadis, Y.","design-based research"
"#Confused and beyond: Detecting confusion in course forums using students' hashtags",2020,"Hoernle, N.","confusion detect"
"The relationship between confusion and metacognitive strategies in Betty's Brain",2020,"Bosch, N.","confus"
"Applying prerequisite structure inference to adaptive testing",2020,"Cater, E.","adaptive test"
"High resolution temporal network analysis to understand and improve collaborative learning",2020,"Nouri, J.","collaborative learn"
"How working memory capacity limits success in self-directed learning: A cognitive model of search and concept formation",2020,"Bibi, A.","cognitive-computational model"
"Quantifying data sensitivity: Precise demonstration of care when building student prediction models",2020,"Woo, C.","data collection parsimoni"
"Socio-temporal dynamics in peer interaction events",2020,"Poquet, O.","digital peer network"
"Learning-centred translucence: An approach to understand how teachers talk about classroom data",2020,"Hadgraft, R.","evidence-based decision-mak"
"Modelling collaborative problem-solving competence with transparent learning analytics: Is video data enough?",2020,"Zhou, Q.","collaborative problem-solv"
"From childhood to maturity: Are we there yet? Mapping the intellectual progress in learning analytics during the past decade",2020,"Giannakos, M.N.","bibliometr"
"Fostering and supporting empirical research on evaluative judgement via a crowdsourced adaptive learning system",2020,"Gyamfi, G.","crowd-sourc"
"How good is my feedback? a content analysis ofWritten feedback",2020,"Diego, A.","content analysi"
"Predicting learners' effortful behaviour in adaptive assessment using multimodal data",2020,"Papamitsiou, Z.","adaptive assess"
"Intergroup and interpersonal forum positioning in shared-thread and post-reply networks",2020,"Jovanovic, J.","central"
"Towards understanding the lifespan and spread of ideas: Epidemiological modeling of participation on twitter",2020,"Dougall, A.L.","connectiv"
"Learning analytics dashboards: The past, the present and the future",2020,"Ochoa, X.","evalu"
"Exploring student approaches to learning through sequence analysis of reading logs",2020,"Chen, M.-R.A.","association rule min"
"Let's shine together! a comparative study between learning analytics and educational data mining",2020,"Rolim, V.","educational data min"
"Macro MOOC learning analytics: Exploring trends across global and regional providers",2020,"Jenner, M.","cultural factor"
"The SEIRA approach: Course embedded activities to promote academic integrity and literacies in first year engineering",2020,"Zamecnik, A.","academic integr"
"EdX log data analysis made easy: Introducing ELAT: An open-source, privacy-aware and browser-based edX log data analysis tool",2020,"Tan, E.","edx log"
"Personalized visualizations to promote young learners' SRL: The learning path app",2020,"Horvers, A.","adaptive learning technolog"
"Disciplinary differences in blended learning design: A network analytic study",2020,"Tsai, Y.-S.","epistemic network analysi"
"Self-regulated learning and learning analytics in online learning environments: A review of empirical research",2020,"Khalil, M.","learning analyt"
"Comparing teachers' use of mirroring and advising dashboards",2020,"Rummel, N.","cooperative/collaborative learn"
"Towards automatic cross-language classification of cognitive presence in online discussions",2020,"Camelo, R.","community of inquiry model"
"Learning to represent healthcare providers knowledge of neonatal emergency care: Findings from a smartphone-based learning intervention targeting clinicians from LMICs",2020,"Paton, C.","clinical train"
"Understanding Students' engagement with personalised feedback messages",2020,"Fudge, A.","data-driven approach"
"Are forum networks social networks? a methodological perspective",2020,"Tupikina, L.","null model"
"Peeking through the classroom window: A detailed data-driven analysis on the usage of a curriculum integrated math game in authentic classrooms",2020,"Akintunde, R.O.","curriculum integrated math gam"
"Detecting learning in noisy data: The case of oral reading fluency",2020,"Loukina, A.","book read"
"Analytics of learning strategies: The association with the personality traits",2020,"Gašević, D.","approaches to learn"
"Towards skills-based curriculum analytics: Can we automate the recognition of prior learning?",2020,"Sarathy, N.","curriculum analyt"
"A Bayesian model of individual differences and flexibility in inductive reasoning for categorization of examples",2020,"Olsen, J.K.","adaptive learning environ"
"Exploring exam strategies of successful first year engineering students",2020,"Zdrahal, Z.","exam strategi"
"Learning with background music: A field experiment",2020,"Hu, X.","background mus"
"Characterizing and influencing students' tendency towrite self-explanations in online homework",2020,"Solyst, J.","engag"
"Involving teachers in learning analytics design: Lessons learned from two case studies",2020,"Lang, C.","case studi"
"Slow is good: The effect of diligence on student performance in the case of an adaptive learning system for health literacy",2020,"Maitz, K.","adaptive e-learning system"
"Evaluating teachers' perceptions of students' questions organization",2020,"Bouchet, F.","pedagogical interest"
"Towards automatic content analysis of social presence in transcripts of online discussions",2020,"Rolim, V.","community of inquiry model"
"Predicting student success in a blended learning environment",2020,"Bogdanova, D.","blended learn"
"Exploration of the robustness and generalizability of the additive factors model",2020,"Pelánek, R.","introductory program"
"Complementing educational recommender systems with open learner models",2020,"Khosravi, H.","educational recommender system"
"Smart dictionary for E-book reading analytics",2020,"Flanagan, B.","dictionari"
"Analytics of time management and learning strategies for effective online learning in blended environments",2020,"Gaševic, D.","blended learn"
"Trace data from student solutions to genetics problems reveals variance in the processes related to different course outcomes",2020,"Quigley, D.","cluster"
"Supporting actionable intelligence: Reframing the analysis of observed study strategies",2020,"Dawson, S.","explanatory model"
"Analyzing the consistency in within-activity learning patterns in blended learning",2020,"Hatala, M.","learner performance and consist"
"Design of a curriculum analytics tool to support continuous improvement processes in higher education",2020,"Aguirre, C.","curriculum analyt"
"Testing the reliability of inter-rater reliability",2020,"Brohinsky, J.","code"
"What college students say, and what they do: Aligning self-regulated learning theory with behavioral logs",2020,"Motz, B.","lms"
"Combining analytic methods to unlock sequential and temporal patterns of self-regulated learning",2020,"Gaševic, D.","epistemic network analysi"
"How patterns of students dashboard use are related to their achievement and self-regulatory engagement",2020,"Teasley, S.D.","academic achiev"
"Focused or stuck together: Multimodal patterns reveal triads' performance in collaborative problem solving",2020,"Amon, M.J.","cscl"
"Is faster better? a study of video playback speed",2020,"Chen, G.","clickstream"
"Dialogue attributes that inform depth and quality of participation in course discussion forums",2020,"Moore, J.","cognitive pres"
"Predicting student performance in interactive online question pools using mouse interaction features",2020,"Li, H.","heterogeneous information network"
"Decoding the performance in an out-of-context problem during blocked practice",2020,"Lalwani, A.","block"
"Designing for serendipity in a university course recommendation system",2020,"Jiang, W.","course guid"
"The automated grading of student open responses in mathematics",2020,"Botelho, A.F.","automatic grad"
"How and how well do students reflect?: Multi-dimensional automated reflection assessment in health professions education",2020,"Wise, A.F.","classif"
"The privacy paradox and its implications for learning analytics",2020,"Whitelock-Wainwright, A.","expect"
"Exploring the usage of thermal imaging for understanding video lecture designs and students' experiences",2020,"Nawaz, S.","cognitive load"
"Prediction of students' assessment readiness in online learning environments: The sequence matters",2020,"Bailey, J.","assessment readiness predict"
"Using a cluster-based regime-switching dynamic model to understand embodied mathematical learning",2020,"Andrade, A.","dynamic model"
"Assessment that matters: Balancing reliability and learner-centered pedagogy in MOOC assessment",2020,"Wiltrout, M.E.","assess"
"Constructing and predicting school advice for academic achievement: A comparison of item response theory and machine learning techniques",2020,"Feskens, R.","e-learn"
"Technologies for automated analysis of co-located, real-life, physical learning spaces: Where are we now?",2019,"Dauwels, J.","co-located learn"
"Different types of response-based feedback in mathematics: The case of textual and symbolic messages",2019,"Hershkovitz, A.","computer-based learn"
"On multi-device use: Using technological modality profiles to explain differences in students' learning",2019,"Hatala, M.","blended learn"
"Semi-automatic generation of intelligent curricula to facilitate learning analytics",2019,"Ochoa, X.","intelligent curriculum"
"DEBE feedback for large lecture classroom analytics",2019,"Chavan, P.","large lectur"
"The timeliness deviation: A novel approach to evaluate educational recommender systems for closed-courses",2019,"Merceron, A.","educational recommender system"
"Differences in student trajectories via filtered time series analysis in an immersive virtual world",2019,"Dede, C.","immersive virtual world"
"Cross-platform analytics: A step towards personalization and adaptation in education",2019,"Vesin, B.","architectur"
"Topic development to support revision feedback",2019,"Patzak, A.","student support"
"Validating the use of LMS-derived rubric structural features to facilitate automated measurement of rubric quality",2019,"Morgan, W.","rubric"
"Predicting student success in communication skills learning scenarios with virtual humans",2019,"Lok, B.","communications skills learn"
"Modeling gender dynamics in intra and interpersonal interactions during online collaborative learning",2019,"Dowell, N.","collaborative learn"
"Contextualizable learning analytics design: A generic model and writing analytics evaluations",2019,"Knight, S.","clad"
"Deep knowledge tracing and engagement with MOOCs",2019,"Kanopka, K.","item respons"
"Read between the lines: An annotation tool for multimodal data for learning",2019,"Schneider, J.","internet of th"
"Towards hybrid human-system regulation: Understanding children' SRL support needs in blended classrooms",2019,"Horvers, A.","adaptive learning technolog"
"Fairer but not fair enough on the equitability of knowledge tracing",2019,"Brunskill, E.","equiti"
"Descriptive and predictive modeling of student achievement, satisfaction, and mental health for data-driven smart connected campus life service",2019,"Lim, H.","academic achiev"
"Affect sequences and learning in Betty's brain",2019,"Paquette, L.","affect"
"The impact of student opt-out on educational predictive models",2019,"Brooks, C.","data privaci"
"Introducing meaning to clicks: Towards traced-measures of self-efficacy and cognitive load",2019,"Dawson, S.","cognitive load"
"Integrated closed-loop learning analytics scheme in a first year experience course",2019,"Duan, X.","advis"
"Would you? Could you? On a tablet? Analytics of children's ebook reading",2019,"Loukina, A.","book read"
"Measuring knowledge gaps in student responses by mining networked representations of texts",2019,"Hu, X.","educational data min"
"Effective feature learning with unsupervised learning for improving the predictive models in massive open online courses",2019,"Yeung, D.-Y.","autoencod"
"Top concept networks of professional education reflections",2019,"Cui, Y.","concept network"
"Motivated information seeking and graph comprehension among college students",2019,"Baek, C.","higher educ"
"Language as thought: Using natural language processing to model noncognitive traits that predict college success",2019,"Hutt, S.","college success"
"Beyond A/B testing: Sequential randomization for developing interventions in scaled digital learning environments",2019,"Gardner, J.","experimental design"
"Utilizing learning analytics to map students' self-reported study strategies to click behaviors in STEM courses",2019,"Rivas, M.J.","higher educ"
"The validity and utility of activity logs as a measure of student engagement",2019,"Quick, J.","lms"
"Social comparison in MOOCs: Perceived SES, opinion, and message formality",2019,"Brooks, C.","mooc"
"Analytics of learning strategies: Associations with academic performance and feedback",2019,"Gašević, D.","data min"
"Are you talking to me? Multi-dimensional language analysis of explanations during reading",2019,"Perret, C.","comprehens"
"Comparison of ranking and rating scales in online peer assessment: Simulation approach",2019,"Stevens, S.","peer assess"
"Using detailed access trajectories for learning behavior analysis",2019,"Hemberg, E.","detailed access trajectori"
"Transfer learning using representation learning in massive open online courses",2019,"Hemberg, E.","autoencod"
"Counting clicks is not enough: Validating a theorized model of engagement in learning analytics",2019,"Joksimović, S.","engag"
"Student centred design of a learning analytics system",2019,"Kyriacou, T.","ladder"
"DiAD: Domain adaptation for learning at scale",2019,"Bhat, S.","confusion detect"
"Exploring the subtleties of agency and indirect control in digital learning games",2019,"Elizabeth Richey, J.","agenc"
"Challenges on implementing learning analytics over countrywide K-12 data",2019,"Ochoa, X.","academic trajectori"
"A study on curriculum planning and its relationship with graduation GPA and time to degree",2019,"Karypis, G.","academic perform"
"Multichannel data for understanding cognitive affordances during complex problem solving",2019,"Desmet, P.","cognitive load"
"Analysing discussion forum data: A replication study avoiding data contamination",2019,"Moore, J.","cognitive pres"
"Can background music facilitate learning? Preliminary results on reading comprehension",2019,"Li, F.","affect"
"Exploring learner engagement patterns in teach-outs",2019,"Welsh, S.S.","learning experi"
"Predicting the well-functioning of learning groups under privacy restrictions",2019,"Doberstein, D.","group support"
"Investigating the usage patterns of algebra nation tutoring platform",2019,"Michailidis, G.","hierarchical linear model"
"User2Code2vec: Embeddings for profiling students based on distributional representations of source code",2019,"Hsiao, I.-H.","code embed"
"Evaluating the fairness of predictive student models through slicing analysis",2019,"Brooks, C.","fair"
"Where you are, not what you see: The impact of learning environment on mind wandering and material retention",2019,"Mills, C.","learning set"
"Square it up! How to model step duration when predicting student performance",2019,"Carvalho, P.F.","intelligent tutoring system"
"Exploring programming semantic analytics with deep learning models",2019,"Hsiao, I.-H.","coding concept detect"
"Refusing to try: Characterizing early stopout on student assignments",2019,"Van Inwegen, E.G.","dropout"
"Learning analytics at the intersections of student trust, disclosure and benefit",2019,"Prinsloo, P.","boundary manag"
"The impact of an online tutoring program for algebra readiness on mathematics achievements; results of a randomized experiment",2019,"Michailidis, G.","hierarchical linear model"
"Clustering analysis reveals authentic science inquiry trajectories among undergraduates",2019,"Quigley, D.","authentic science inquiri"
"Towards value-sensitive learning analytics design",2019,"Zhu, H.","data eth"
